prop type, address #, address st, city, state, zip, dom, listing_id, beds, baths, sqfootage, lotsize, yearbuilt, latitude, longitude, redfin link, chartlink, homelink, graphlink, maplink, compslink, zpid, zestimate, lastupdated, rentestimate, lastupdated_rent, distance, # hot words, sold price, sold date, comp score, $/sqft
redfin,4217,Balfour Ave,Oakland,CA,94610,544,14-798721,3,1.0,1950,3349,1924,37.81412,-122.232762,http://www.redfin.com/CA/Oakland/4217-Balfour-Ave-94610/home/1361820,,http://www.zillow.com/homedetails/4217-Balfour-Ave-Oakland-CA-94610/24746265_zpid/,http://www.zillow.com/homedetails/4217-Balfour-Ave-Oakland-CA-94610/24746265_zpid/#charts-and-data,http://www.zillow.com/homes/24746265_zpid/,http://www.zillow.com/homes/comps/24746265_zpid/,24746265,1301980,04/01/2016,3700,04/01/2016,0,3
redfin,1060,Warfield Ave,Oakland,CA,94610,,,3,2.0,1991,7975,1923,37.817007,-122.239971,,,http://www.zillow.com/homedetails/1060-Warfield-Ave-Oakland-CA-94610/24745932_zpid/,http://www.zillow.com/homedetails/1060-Warfield-Ave-Oakland-CA-94610/24745932_zpid/#charts-and-data,http://www.zillow.com/homes/24745932_zpid/,http://www.zillow.com/homes/comps/24745932_zpid/,24745932,1227694,04/01/2016,,,0.441159364389,0,1260000,11/13/2015,5.0,632
redfin,1080,Warfield Ave,Oakland,CA,94610,,,4,2.0,2114,5670,1924,37.817387,-122.239472,,,http://www.zillow.com/homedetails/1080-Warfield-Ave-Oakland-CA-94610/24745936_zpid/,http://www.zillow.com/homedetails/1080-Warfield-Ave-Oakland-CA-94610/24745936_zpid/#charts-and-data,http://www.zillow.com/homes/24745936_zpid/,http://www.zillow.com/homes/comps/24745936_zpid/,24745936,1278854,04/01/2016,,,0.430222986119,0,1410000,02/23/2016,5.0,666
redfin,3908,Lakeshore Ave,Oakland,CA,94610,,,4,2.0,2185,4928,1918,37.815414,-122.237223,,,http://www.zillow.com/homedetails/3908-Lakeshore-Ave-Oakland-CA-94610/24746126_zpid/,http://www.zillow.com/homedetails/3908-Lakeshore-Ave-Oakland-CA-94610/24746126_zpid/#charts-and-data,http://www.zillow.com/homes/24746126_zpid/,http://www.zillow.com/homes/comps/24746126_zpid/,24746126,1420846,04/01/2016,,,0.259391866537,0,1380000,10/25/2015,4.0,631
redfin,698,Santa Ray Ave,Oakland,CA,94610,,,3,1.5,1783,6950,1926,37.811584,-122.236967,,,http://www.zillow.com/homedetails/698-Santa-Ray-Ave-Oakland-CA-94610/24746468_zpid/,http://www.zillow.com/homedetails/698-Santa-Ray-Ave-Oakland-CA-94610/24746468_zpid/#charts-and-data,http://www.zillow.com/homes/24746468_zpid/,http://www.zillow.com/homes/comps/24746468_zpid/,24746468,1349150,04/01/2016,,,0.288766040427,0,777500,01/12/2016,10.0,436
principal_arv,avg $/sqft,rehab_light,rehab_med,rehab_high,mao_light,mao_med,mao_high
1152450,591,68250,87750,117000,781087.5,761587.5,732337.5

prop type, address #, address st, city, state, zip, dom, listing_id, beds, baths, sqfootage, lotsize, yearbuilt, latitude, longitude, redfin link, chartlink, homelink, graphlink, maplink, compslink, zpid, zestimate, lastupdated, rentestimate, lastupdated_rent, distance, # hot words, sold price, sold date, comp score, $/sqft
redfin,4217,Balfour Ave,Oakland,CA,94610,544,14-798721,3,1.0,1950,3349,1924,37.81412,-122.232762,http://www.redfin.com/CA/Oakland/4217-Balfour-Ave-94610/home/1361820,,http://www.zillow.com/homedetails/4217-Balfour-Ave-Oakland-CA-94610/24746265_zpid/,http://www.zillow.com/homedetails/4217-Balfour-Ave-Oakland-CA-94610/24746265_zpid/#charts-and-data,http://www.zillow.com/homes/24746265_zpid/,http://www.zillow.com/homes/comps/24746265_zpid/,24746265,1301980,04/01/2016,3700,04/01/2016,0,3
